sep=,
TIME,LATITUDE (deg+-m),LONGITUDE (deg+-m),ALTITUDE (m+-m),TRACK (deg from true north+-deg),SPEED (m/s+-m/s),CLIMB (m/s+-m/s),MODE,SAT
2016-05-20T08:07:49.000Z+-0.005,41.126253+-3.68,-8.640759+-7.984,88.9+-13.053,0.0+-nan,0.002+-nan,0.0+-nan,3,10
2016-05-20T08:07:51.000Z+-0.005,41.126251167+-3.68,-8.640757167+-7.984,89.0+-13.053,0.0+-nan,0.005+-nan,0.0+-nan,3,10
2016-05-20T08:07:52.000Z+-0.005,41.1262505+-3.68,-8.640757333+-7.984,89.0+-13.11,0.0+-nan,0.109+-nan,0.0+-nan,3,10
2016-05-20T08:07:53.000Z+-0.005,41.126249667+-3.68,-8.640758+-7.984,89.0+-13.11,0.0+-nan,0.017+-nan,0.0+-nan,3,10
2016-05-20T08:07:54.000Z+-0.005,41.1262495+-3.68,-8.6407575+-7.984,89.0+-13.11,0.0+-nan,0.043+-nan,0.0+-nan,3,10
2016-05-20T08:07:55.000Z+-0.005,41.126249667+-3.68,-8.640756833+-7.984,89.1+-13.11,0.0+-nan,0.081+-nan,0.0+-nan,3,10
2016-05-20T08:07:56.000Z+-0.005,41.12625+-3.68,-8.640754+-7.984,88.9+-13.11,0.0+-nan,0.034+-nan,0.0+-nan,3,10
2016-05-20T08:07:57.000Z+-0.005,41.126249833+-3.68,-8.640753667+-7.984,88.9+-13.11,0.0+-nan,0.008+-nan,0.0+-nan,3,10
2016-05-20T08:07:58.000Z+-0.005,41.126250167+-3.68,-8.640752833+-7.984,88.9+-11.5,0.0+-nan,0.146+-nan,0.0+-nan,3,10
2016-05-20T08:07:59.000Z+-0.005,41.126250333+-3.68,-8.640752333+-7.984,88.9+-11.5,0.0+-nan,0.127+-nan,0.0+-nan,3,10
2016-05-20T08:08:01.000Z+-0.005,41.126250833+-3.68,-8.6407505+-7.984,88.9+-11.5,0.0+-nan,0.143+-nan,0.0+-nan,3,10
2016-05-20T08:08:02.000Z+-0.005,41.126250333+-3.68,-8.640750667+-7.984,89.1+-11.5,0.0+-nan,0.087+-nan,0.0+-nan,3,10
2016-05-20T08:08:03.000Z+-0.005,41.126249833+-3.68,-8.640751+-7.984,89.2+-11.5,0.0+-nan,0.037+-nan,0.0+-nan,3,10
2016-05-20T08:08:04.000Z+-0.005,41.126249833+-3.68,-8.640750667+-7.984,89.2+-11.5,0.0+-nan,0.042+-nan,0.0+-nan,3,10
2016-05-20T08:08:05.000Z+-0.005,41.126250167+-3.68,-8.6407505+-7.984,89.2+-11.5,0.0+-nan,0.061+-nan,0.0+-nan,3,10
2016-05-20T08:08:06.000Z+-0.005,41.126249667+-3.68,-8.640750833+-7.984,89.4+-11.5,0.0+-nan,0.161+-nan,0.0+-nan,3,10
2016-05-20T08:08:07.000Z+-0.005,41.126249167+-3.68,-8.640751333+-7.984,89.7+-11.5,0.0+-nan,0.118+-nan,0.0+-nan,3,10
